"","sI","tI","rho","av_accuracy","av_search","av_accuracy_s1","av_accuracy_s0"
"206",0.964847341022481,3,0.8,0.85,0,NA,0.907504038403133
"207",0.869301115868934,3,0.8,0.875,0,NA,0.934485227406752
"208",0.780304146072379,3,0.8,0.9,0,NA,0.957646660008739
"209",0.69467046757101,3,0.8,0.925,0,NA,0.97631580834993
"210",0.607956831911769,3,0.8,0.95,0,NA,0.989857620177176
"211",3.94715387554275,4,0.8,0.6,0.989528109795284,0.848954379017308,0.805670130440255
"212",3.13834420066129,4,0.8,0.625,0.98952806373356,0.852454306632029,0.807687999863833
"213",2.59524236883453,4,0.8,0.65,0.987135186239239,0.858418865604541,0.804373836097103
"214",2.20379754343486,4,0.8,0.675,0.975722323926783,0.866516942549663,0.797253187163875
"215",1.90693940178649,4,0.8,0.7,0.901114311260262,0.875557010967605,0.795479851230233
"216",1.6729118528206,4,0.8,0.725,0.644904215090908,0.884189030162486,0.797472130720528
"217",1.4826022185056,4,0.8,0.75,0.176339141820624,0.894164132797792,0.803405585546524
"218",1.32377562678085,4,0.8,0.775,0,NA,0.831184394623832
"219",1.18818294989389,4,0.8,0.8,0,NA,0.863942035524214
"220",1.06998872076887,4,0.8,0.825,0,NA,0.894273364203886
"221",0.964847341022481,4,0.8,0.85,0,NA,0.921655405098913
"222",0.869301115868934,4,0.8,0.875,0,NA,0.945590475987594
"223",0.780304146072379,4,0.8,0.9,0,NA,0.965608280520155
"224",0.69467046757101,4,0.8,0.925,0,NA,0.981281101394251
"225",0.607956831911769,4,0.8,0.95,0,NA,0.992261736028254
